covariate,Hazard_Ratio,CI_Lower_95,CI_Upper_95,p_value
totmembers,0.9491526753785606,0.9418325881097331,0.9565296556433406,7.572146931580799e-40
o2used,0.17925656968562578,0.16367083830334858,0.19632646907998513,2.746961302605882e-300
primrte,0.40913149726387904,0.3037290252261314,0.5511115769352628,4.102628789599609e-09
season_Winter,0.9497362837817993,0.8067297574304768,1.1180931413818533,0.535677894984022
season_Summer,0.8019559816361014,0.5752049969824897,1.118094244409878,0.19304288137076508
